date2,QUOTA ALLOCATED, LOAD DRAWN (MW),LAOD SHEDDING (MW) (LOAD MANAGEMENT),TOTAL DEMAND (MW) 
1/25/2018,43528,40980,6950,47930
1/26/2018,44146,41897,3445,45342
1/27/2018,43241,40931,5166,46097
1/28/2018,42254,37662,2890,40552
1/29/2018,44756,42006,3522,45528
1/30/2018,46305,44234,3321,47555
1/31/2018,46599,43914,3376,47290
2/1/2018,46568,42976,3579,46555
2/2/2018,47071,44311,2410,46721
2/3/2018,47188,42863,2802,45665
2/4/2018,45013,38703,2379,41082
2/5/2018,42736,38977,2308,41285
2/6/2018,44807,42065,3343,45408
2/7/2018,46143,43896,3561,47457
2/8/2018,46258,43749,3681,47430
2/9/2018,48594,45404,2438,47842
2/10/2018,47983,44851,2401,47252
2/11/2018,46936,39716,2594,42310
2/12/2018,46601,37646,4780,42426
2/13/2018,47278,44163,3671,47834
2/14/2018,47523,44874,3140,48014
2/15/2018,47599,43950,3630,47580
2/16/2018,48351,45478,2497,47975
2/17/2018,48328,44887,2554,47441
2/18/2018,45805,40081,2420,42501
2/19/2018,47741,24582,1505,26087
2/20/2018,48561,45485,3892,49377
2/21/2018,48916,46083,3493,49576
2/22/2018,49149,46062,3778,49840
2/23/2018,50005,47434,2539,49973
2/24/2018,49010,44535,2887,47422
2/25/2018,45924,41011,2350,43361
2/26/2018,48978,44793,3350,48143
2/27/2018,49668,46580,3831,50411
2/28/2018,50391,47990,3268,51258
3/1/2018,51149,47602,3114,50716
3/2/2018,51916,47972,2631,50603
3/3/2018,50494,46588,2695,49283
3/4/2018,48193,42115,2586,44701
3/5/2018,49536,46383,3507,49890
3/6/2018,51853,48159,3478,51637
3/7/2018,52699,49702,3389,53091
3/8/2018,53039,49676,4126,53802
3/9/2018,54059,50240,3481,53721
3/10/2018,53403,50233,3553,53786
3/11/2018,52216,46837,2887,49724
3/12/2018,53141,50594,3929,54523
3/13/2018,55781,53590,3690,57280
3/14/2018,56551,53809,3890,57699
3/15/2018,56621,52304,3966,56270
3/16/2018,56863,52993,2955,55948
3/17/2018,55517,53479,3211,56690
3/18/2018,53317,49462,3023,52485
3/19/2018,56210,52949,3830,56779
3/20/2018,54700,51050,3769,54819
3/21/2018,52723,43247,6011,49258
3/22/2018,52108,46797,3687,50484
3/23/2018,51520,46769,2628,49397
3/24/2018,51753,49886,2649,52535
3/25/2018,50958,47936,2691,50627
3/26/2018,54456,52357,4293,56650
3/27/2018,54733,55862,5282,61144
3/28/2018,58355,58054,4212,62266
3/29/2018,60784,58031,4531,62562
3/30/2018,62042,59858,3557,63415
3/31/2018,62691,59787,3565,63352
4/1/2018,57360,55145,3282,58427
4/2/2018,56670,58246,4564,62810
4/3/2018,56670,58246,4564,62810
4/4/2018,60494,60761,5953,66714
4/5/2018,58599,60249,6480,66729
4/6/2018,58523,61859,7897,69756
4/7/2018,57720,61833,6607,68440
4/8/2018,60051,58242,6413,64655
4/9/2018,64225,59722,7324,67046
4/10/2018,71482,67583,4509,72092
4/11/2018,69974,60136,5842,65978
4/12/2018,69409,64623,4182,68805
4/13/2018,69364,64039,3786,67825
4/14/2018,66927,65169,4584,69753
4/15/2018,61047,61467,5684,67151
4/16/2018,67902,62685,4900,67585
4/17/2018,70320,65205,4623,69828
4/18/2018,70118,67822,4805,72627
4/19/2018,71979,69224,6299,75523
4/20/2018,63766,58033,4764,62797
4/21/2018,62799,58049,3604,61653
4/22/2018,60317,55601,3658,59259
4/23/2018,66876,63754,4272,68026
4/24/2018,71065,68277,4597,72874
4/25/2018,72831,70387,4875,75262
4/26/2018,74710,72229,5189,77418
4/27/2018,76781,75325,4612,79937
4/28/2018,66471,72286,8362,80648
4/29/2018,71269,69317,5759,75076
4/30/2018,69656,70410,9224,79634
5/1/2018,56748,63943,15718,79661
5/2/2018,62587,63410,13562,76972
5/3/2018,66500,66858,12364,79222
5/4/2018,78058,74259,5523,79782
5/5/2018,78058,78058,78058,78058
5/6/2018,78058,74259,5523,79782
5/7/2018,67928,62142,5301,67443
5/8/2018,71066,66662,4687,71349
5/9/2018,73498,69781,5160,74941
5/10/2018,76819,73057,5489,78546
5/11/2018,81666,78733,4202,82935
5/12/2018,80308,75231,6350,81581
5/13/2018,71928,65910,4851,70761
5/14/2018,75932,74169,5235,79404
5/15/2018,74684,70448,7877,78325
5/16/2018,69389,52039,14042,66081
5/17/2018,73062,68873,12242,81115
5/18/2018,80027,73789,5777,79566
5/19/2018,78563,72107,4968,77075
5/20/2018,76417,71034,4080,75114
5/21/2018,80230,73916,4751,78667
5/22/2018,82301,77208,4486,81694
5/23/2018,82547,77869,4695,82564
5/24/2018,82068,78557,6227,84784
5/25/2018,82786,79366,6715,86081
5/26/2018,84388,79577,7391,86968
5/27/2018,82808,78099,4747,82846
5/28/2018,85350,81904,8187,90091
5/29/2018,85742,82274,9966,92240
5/30/2018,86196,83775,10379,94154
5/31/2018,89430,85783,10445,96228
6/1/2018,92190,82058,10814,96097
6/2/2018,89725,82352,6524,92111
6/3/2018,90896,81809,5177,90436
6/4/2018,89591,85642,10824,99963
6/5/2018,87017,72231,26943,102358
6/6/2018,84090,74341,9254,86431
6/7/2018,87486,84599,9574,97671
6/8/2018,89923,85948,12319,101999
6/9/2018,82742,74092,8532,85843
6/10/2018,81101,76806,5993,85955
6/11/2018,87660,83917,7983,95304
6/12/2018,88815,86079,10419,100138
6/13/2018,89648,85211,11573,100487
6/14/2018,108063,83888,7068,94447
6/15/2018,86266,75560,4929,83696
6/16/2018,78439,66358,1972,70746
6/17/2018,73666,49937,4712,56674
6/18/2018,71468,56304,1125,59664
6/19/2018,75150,66309,3170,71895
6/20/2018,80596,72511,6095,81458
6/21/2018,83894,77941,5038,85928
6/22/2018,86162,78673,7629,89449
6/23/2018,87143,76166,5152,84258
6/24/2018,86228,79968,4300,87601
6/25/2018,90529,85964,6400,92364
6/26/2018,91240,83219,11496,98042
6/27/2018,87370,75364,6636,85150
6/28/2018,84345,73006,4967,81023
6/29/2018,77048,62032,6653,71198
6/30/2018,75967,67444,4398,74362
7/1/2018,80482,73550,4093,80607
7/2/2018,86382,82396,7485,93207
7/3/2018,67149,52616,12371,67436
7/4/2018,68808,59269,6000,67490
7/5/2018,74657,69277,3893,75773
7/6/2018,81796,75602,3391,81809
7/7/2018,84428,81112,4717,89024
7/8/2018,85060,81010,4114,85133
7/9/2018,90753,88205,6003,97691
7/10/2018,92462,89781,9198,102793
7/11/2018,91384,86511,6156,96312
7/12/2018,90853,86293,5569,95396
7/13/2018,89224,65492,4533,71608
7/14/2018,87296,85194,6617,95241
7/15/2018,86580,83310,4526,91267
7/16/2018,90713,88124,6525,98265
7/17/2018,91950,87049,6608,97260
